l_orderkey	l_quantity	l_extendedprice	c_custkey	c_acctbal	c_nationkey
1620672	13.00	16774.81	47	274.58	2
227813	15.00	21186.15	463	-654.50	8
331553	2.00	2462.32	104	-588.38	10
2290245	46.00	85410.50	11	-272.60	23
838373	35.00	49889.00	257	-339.85	7
994080	42.00	70419.30	286	-109.73	22
4704101	1.00	1880.93	832	-201.49	19
5123620	20.00	34376.00	358	-44.66	5
1465794	48.00	88361.76	289	-215.75	10
739364	50.00	92240.00	779	-902.48	5
968806	2.00	2432.42	478	-210.40	1
1111687	13.00	13625.30	955	138.31	0
5469575	44.00	57342.12	871	-395.89	20
1977920	39.00	60506.94	400	-98.46	14
2240294	41.00	50112.66	337	-270.59	0
2287683	7.00	11694.27	715	85.05	19
2551937	13.00	24607.31	337	-270.59	0
1344196	15.00	21651.15	875	-949.28	3
1372770	25.00	37513.75	997	367.03	17
1430980	36.00	57119.04	350	19.31	15
1551878	41.00	47359.51	833	-526.14	6
1805473	4.00	5128.92	337	-270.59	0
2971042	50.00	54955.50	709	-867.94	18
3290695	17.00	25729.33	136	-842.39	7
3164450	35.00	59734.85	286	-109.73	22
2231556	6.00	6228.48	37	-917.75	8
2787809	25.00	45097.00	785	108.14	18
2806528	13.00	23606.18	37	-917.75	8
3154370	22.00	21407.32	11	-272.60	23
3424352	36.00	42813.36	656	-390.09	5
1028102	48.00	89799.36	206	-274.79	9
1103525	36.00	66772.44	883	479.96	3
4026182	14.00	18988.34	665	-616.79	22
4219619	47.00	76072.32	880	-77.63	8
4028034	17.00	32197.32	656	-390.09	5
4095109	29.00	33762.96	778	52.43	23
4053888	4.00	7143.16	331	170.27	5
4432805	20.00	23182.60	787	212.16	10
4645218	21.00	31361.82	289	-215.75	10
4815364	12.00	22666.44	334	-405.91	4
5033860	43.00	46874.30	692	276.71	19
5095717	50.00	66069.00	692	276.71	19
670182	37.00	57335.20	346	238.14	2
3964322	33.00	58864.08	818	-574.39	20
4042530	40.00	58177.20	787	212.16	10
5256966	37.00	52149.28	977	311.00	2
5361600	34.00	41110.08	184	170.46	21
5649383	39.00	48096.36	337	-270.59	0
5711648	22.00	35764.74	883	479.96	3
5778661	30.00	44567.10	337	-270.59	0
1732097	29.00	47779.24	641	339.49	24
4427587	3.00	5921.85	709	-867.94	18
4665539	27.00	29754.27	478	-210.40	1
406499	25.00	40715.00	940	253.59	19
436417	14.00	27873.16	346	238.14	2
496032	42.00	62560.26	307	346.59	13
3383489	48.00	60394.56	125	-234.12	19
3526146	2.00	3010.94	871	-395.89	20
3550336	5.00	7352.05	478	-210.40	1
1266501	10.00	15205.30	934	-592.69	12
5262725	45.00	54866.25	833	-526.14	6
5372579	12.00	23639.40	883	479.96	3
4108961	9.00	12954.24	463	-654.50	8
4330023	12.00	22979.40	331	170.27	5
5519623	3.00	4957.71	818	-574.39	20
5858147	18.00	19476.18	872	-858.61	17
5925216	3.00	3042.03	98	-551.37	12
5949348	49.00	71563.03	701	148.98	2
5993894	27.00	48862.44	358	-44.66	5
1646340	5.00	7452.45	17	6.34	2
126339	10.00	16967.40	820	-614.28	4
365666	22.00	40587.14	641	339.49	24
5343204	45.00	54773.55	569	-795.23	2
5396672	46.00	72157.44	853	-444.73	2
5527684	42.00	53857.44	820	-614.28	4
5162247	27.00	43460.01	605	-549.73	23
5494756	22.00	37523.42	995	-341.79	13
5505093	4.00	7763.56	439	-61.29	14
5673120	46.00	43195.38	782	-326.32	19
5681090	1.00	1367.45	916	130.59	23
5718660	39.00	62580.96	286	-109.73	22
1028356	12.00	17058.00	875	-949.28	3
1410213	48.00	76248.00	400	-98.46	14
1911973	40.00	57820.40	916	130.59	23
734273	32.00	49841.92	349	-565.35	23
790531	46.00	51619.36	715	85.05	19
1095968	19.00	28623.69	997	367.03	17
5885190	33.00	42086.88	11	-272.60	23
17668	13.00	14690.91	818	-574.39	20
162436	48.00	54292.32	754	-566.86	0
430243	23.00	30941.67	2	121.65	13
437121	33.00	64348.68	368	84.72	22
185030	28.00	50366.96	820	-614.28	4
2826341	45.00	88512.30	820	-614.28	4
2767234	20.00	32571.60	818	-574.39	20
732580	13.00	23463.70	364	32.24	23
951488	6.00	9964.14	883	479.96	3
1003174	33.00	45653.85	820	-614.28	4
1093477	2.00	1914.00	986	178.73	1
844517	45.00	50716.80	833	-526.14	6
973124	38.00	55303.68	289	-215.75	10
3818402	4.00	4928.60	787	212.16	10
3845570	25.00	34007.00	422	-272.14	9
1747782	38.00	52302.82	787	212.16	10
4070275	26.00	29385.72	641	339.49	24
4070917	9.00	18089.19	548	90.45	4
4171622	35.00	53638.55	820	-614.28	4
1188033	29.00	42557.21	125	-234.12	19
1368231	15.00	28106.85	701	148.98	2
1420035	18.00	25244.10	98	-551.37	12
1752256	42.00	80512.74	463	-654.50	8
1241927	3.00	3741.99	995	-341.79	13
1682113	44.00	40392.44	785	108.14	18
5118786	39.00	48996.87	217	378.33	23
5124578	26.00	31907.20	307	346.59	13
5183364	26.00	49526.36	778	52.43	23
1875975	38.00	52907.40	358	-44.66	5
2370311	29.00	50015.43	217	378.33	23
5538308	11.00	12068.54	337	-270.59	0
5573317	35.00	44601.20	257	-339.85	7
5655334	5.00	8017.80	709	-867.94	18
5667427	32.00	35619.20	422	-272.14	9
1592836	49.00	65137.17	334	-405.91	4
2005187	12.00	15363.96	880	-77.63	8
347522	8.00	10265.52	488	-275.58	3
509380	32.00	37348.48	832	-201.49	19
536807	7.00	10721.34	853	-444.73	2
872321	37.00	70218.97	940	253.59	19
101760	11.00	21767.79	832	-201.49	19
138759	33.00	46211.88	344	-544.95	2
177441	33.00	42709.26	809	-594.23	16
459014	49.00	53706.45	871	-395.89	20
472609	24.00	27291.60	569	-795.23	2
1054630	44.00	69984.64	940	253.59	19
1177089	5.00	7567.70	334	-405.91	4
1178402	5.00	7988.30	349	-565.35	23
1442213	9.00	16739.37	490	-213.85	22
1457024	47.00	74237.44	473	-202.22	9
2216896	10.00	18248.90	257	-339.85	7
2214437	30.00	42011.70	871	-395.89	20
1808935	23.00	44433.24	832	-201.49	19
2032707	24.00	27245.04	605	-549.73	23
2746054	35.00	47755.75	632	-487.92	3
2804963	3.00	3378.27	289	-215.75	10
2880422	50.00	93294.00	286	-109.73	22
2439303	31.00	48686.74	383	-849.44	2
2825158	39.00	59491.77	71	-611.19	7
2947744	19.00	33416.82	593	233.51	9
2957440	18.00	28179.90	217	378.33	23
3481986	27.00	48214.71	400	-98.46	14
2855811	5.00	8593.85	692	276.71	19
3005509	36.00	61480.80	176	-375.76	13
5692738	47.00	53824.87	11	-272.60	23
5921799	2.00	3399.30	128	-986.96	4
2890945	34.00	46185.94	64	-646.64	3
3654183	16.00	27899.20	293	-43.79	2
3986496	32.00	37576.32	2	121.65	13
3279462	10.00	11331.80	478	-210.40	1
3287780	23.00	38449.56	64	-646.64	3
3920418	18.00	30090.42	473	-202.22	9
4396705	50.00	70224.00	538	-303.95	19
4410503	11.00	18189.71	926	274.50	16
4631111	50.00	72477.00	820	-614.28	4
4679777	1.00	1477.39	955	138.31	0
4713092	30.00	29941.50	128	-986.96	4
4925251	47.00	54483.34	871	-395.89	20
4952711	2.00	2442.62	289	-215.75	10
4570406	46.00	54376.60	358	-44.66	5
5061254	12.00	20000.64	754	-566.86	0
5200901	42.00	61549.74	41	270.95	10
671815	33.00	65271.69	580	-181.63	11
771553	42.00	44816.94	206	-274.79	9
806215	16.00	27276.16	344	-544.95	2
828801	11.00	11011.66	64	-646.64	3
1097222	49.00	76663.93	346	238.14	2
5263715	19.00	28091.88	632	-487.92	3
232228	19.00	33301.87	473	-202.22	9
3294660	38.00	59640.62	883	479.96	3
5958306	3.00	6245.94	334	-405.91	4
230179	45.00	49503.15	364	32.24	23
2840519	19.00	28547.12	349	-565.35	23
3006848	42.00	64874.04	785	108.14	18
3045575	31.00	47541.60	955	138.31	0
3354179	11.00	18343.82	422	-272.14	9
1472199	5.00	8428.65	184	170.46	21
1511716	1.00	1740.76	788	-330.69	16
