l_orderkey	l_linenumber	l_quantity	l_extendedprice	c_custkey	o_orderstatus
454791	1	40.00	51771.60	1	F
454791	2	13.00	25011.61	1	F
579908	1	33.00	53513.13	1	O
3868359	1	36.00	48649.68	1	F
3868359	2	9.00	14891.76	1	F
3868359	3	32.00	54680.32	1	F
3868359	4	6.00	8732.16	1	F
4273923	1	28.00	33632.76	1	O
4273923	2	42.00	62015.52	1	O
4808192	1	26.00	47080.54	1	O
4808192	2	11.00	17529.27	1	O
5133509	1	28.00	36741.88	1	O
5133509	2	35.00	63199.50	1	O
5133509	3	12.00	23399.76	1	O
5133509	4	33.00	53713.77	1	O
l_extendedprice	l_linenumber	l_orderkey	c_name	c_address	c_custkey	o_orderstatus	c_comment
60783.16	2	3428449	Customer#000149821	au4OA3r8r6qSN0,x7NIEpYi4RSrSey	149821	F	s cajole blithely. pinto beans cajole silent requests. blithely even deposits detect furiously packages. blithely 
57625.48	1	3800738	Customer#000149722	OnJAdFFEPIkm0Ftskw12C2jepe0hFU	149722	F	ly bold packages integrate carefully. carefully e
13102.95	2	3907655	Customer#000149806	JiTYP6kU9BEZaFLeu5Eibe,rz7LxSahhv0XT	149806	F	ickly even packages. quickly express requests try to cajole blithely alongside of the 
6033.72	4	3907655	Customer#000149806	JiTYP6kU9BEZaFLeu5Eibe,rz7LxSahhv0XT	149806	F	ickly even packages. quickly express requests try to cajole blithely alongside of the 
48196.80	1	4279170	Customer#000149962	bD6DGVRu LHp zX	149962	F	al pinto beans sleep furiously. slyly regular courts play fluffily. daringly blithe as
14823.44	2	4671744	Customer#000149701	fjHkrVXIYmSbiJExCAEUNVElo7faOuS	149701	F	ular packages. carefully ironic dependencies across the regularly final requests sleep carefully along the ca
14355.12	1	4572673	Customer#000149593	RiXpK YQD5d1TNDld3l	149593	F	round the blithely silent foxes cajole carefully special instructions. slyly final accounts wake after the asym
13698.16	4	4579878	Customer#000149609	MMPZ,QVTlbh8vmxvEN8o7VFHHGs1T61Ge4yVi,D4	149609	F	ual requests. packages cajole: bold notornis are furiously. blithely pending foxes boost carefully e
6951.60	1	4602213	Customer#000149537	dNOJlVp1xSEUSS0vX,TgXcxwDoLbKObiaTG8	149537	F	 express accounts nag among the final, special requests. unusual, bol
41034.84	2	4602213	Customer#000149537	dNOJlVp1xSEUSS0vX,TgXcxwDoLbKObiaTG8	149537	F	 express accounts nag among the final, special requests. unusual, bol
16132.56	2	4634470	Customer#000149894	UBbFFFjfeGG	149894	F	ect quickly. ironic, regular pinto beans along the ideas sleep above the
25827.48	1	4680739	Customer#000149512	9vDuNLo9qakS0n	149512	F	uriously silent instructions. accounts sleep 
42259.68	1	4731335	Customer#000149542	Crp8DOIweQ,lqMQ7W0Y22JwY 	149542	F	olites. doggedly silent frays dazzle furiously even ide
67242.96	2	4731335	Customer#000149542	Crp8DOIweQ,lqMQ7W0Y22JwY 	149542	F	olites. doggedly silent frays dazzle furiously even ide
7537.45	4	4763266	Customer#000149924	iAo87jA KFZPYKNCFwliN6i	149924	F	ect express, ironic ideas. caref
14910.12	5	4763266	Customer#000149924	iAo87jA KFZPYKNCFwliN6i	149924	F	ect express, ironic ideas. caref
1416.45	3	4829060	Customer#000149680	IzGN1wWDc akugOYOZ8GpIXB321LgE	149680	F	. final, regular instructions affix carefully foxes. furiously special pearls use above the regular, re
56210.03	5	4829060	Customer#000149680	IzGN1wWDc akugOYOZ8GpIXB321LgE	149680	F	. final, regular instructions affix carefully foxes. furiously special pearls use above the regular, re
60610.68	6	4829060	Customer#000149680	IzGN1wWDc akugOYOZ8GpIXB321LgE	149680	F	. final, regular instructions affix carefully foxes. furiously special pearls use above the regular, re
22163.40	2	4831778	Customer#000149998	NaDi,1fCNPDTntnVUjGyUJ8TrlIeYNK7v	149998	F	 ideas cajole slyly around the even, pending foxes. carefully thin theodolites run beneath the final se
76941.04	7	4831778	Customer#000149998	NaDi,1fCNPDTntnVUjGyUJ8TrlIeYNK7v	149998	F	 ideas cajole slyly around the even, pending foxes. carefully thin theodolites run beneath the final se
62575.33	4	4854434	Customer#000149764	D2qA6BwAp9RCe9uadZu9Y9Ix	149764	F	equests sleep carefully instructions. blithely ironic ideas detect slyly fl
59066.28	1	4939842	Customer#000149611	ZHbldyyaPQyRKWl71mjYKfYVy	149611	F	tes? final, pending accounts believe blithely above the 
17882.76	3	4945153	Customer#000149842	7eHO8KrExZkdL	149842	F	 deposits. furiously unusual excuses lose furiously quickly final attainments; furiously spe
14412.93	1	5102021	Customer#000149969	,nCbv4uahzwMrkL2Cx96y7fpKFf2hcuPr dx7H5	149969	F	odolites haggle! slyly ironic instructions cajole slyly. slyly ironic pinto bea
31396.28	1	5119649	Customer#000149599	4,WZ,7LGVDCb SaM1zZ5QOywH1TllmQQAzZ2GoB	149599	F	nts lose according to the dependencies. per
28027.56	2	5119649	Customer#000149599	4,WZ,7LGVDCb SaM1zZ5QOywH1TllmQQAzZ2GoB	149599	F	nts lose according to the dependencies. per
32872.00	4	2426275	Customer#000149560	aRBfQ2Bnyl703yPsjf2p	149560	F	inal excuses nag quickly! carefully regular requests x-ray furiously furiously regular deposits. slyly u
36053.88	7	2469254	Customer#000149531	iPKyKVY7WdCzgExwoRVp5FovI	149531	F	ffily even notornis use requests; final deposits sl
24893.85	2	2486434	Customer#000149734	4YAPamT4rUC8BuQc uLQ0OJFdLthCgK3or	149734	F	express accounts. furiously ironic hockey players believe slyly unu
16615.84	4	2486434	Customer#000149734	4YAPamT4rUC8BuQc uLQ0OJFdLthCgK3or	149734	F	express accounts. furiously ironic hockey players believe slyly unu
67482.82	6	2486434	Customer#000149734	4YAPamT4rUC8BuQc uLQ0OJFdLthCgK3or	149734	F	express accounts. furiously ironic hockey players believe slyly unu
30188.60	1	2488998	Customer#000149776	G,K0pWxRWjgK2IaqA4FVU3WpZbC	149776	F	nto beans. blithely final asymptotes use carefully bold requests. carefully final accounts sleep across 
34270.68	3	2518535	Customer#000149512	9vDuNLo9qakS0n	149512	F	uriously silent instructions. accounts sleep 
47105.82	4	2518535	Customer#000149512	9vDuNLo9qakS0n	149512	F	uriously silent instructions. accounts sleep 
84517.44	1	2654272	Customer#000149657	W2peI9Fbju3p q,luG	149657	F	ests sleep slyly. silent instructions sublate furiously even deposits. slyly pending requests snooze 
6881.90	2	2654272	Customer#000149657	W2peI9Fbju3p q,luG	149657	F	ests sleep slyly. silent instructions sublate furiously even deposits. slyly pending requests snooze 
29597.96	4	2675842	Customer#000149980	1 hpaEk7jODYVCw1jcIjsdiT0 N4R	149980	F	e unusual pinto beans. regular requests beneath the blithely regular deposits believe across the careful
25869.61	1	2690785	Customer#000149668	H0PKahNs3iOHgX75iy5youRIrcBxXASzNqU1O	149668	F	lly pending ideas. packages w
46046.88	1	2697314	Customer#000149863	WXlXCjQJDnNYHy9sygeT7n3pDRZD1bWBbMrD5	149863	F	lly quickly express deposits. fluffily ironic accounts above the furiously express packages sleep accounts. 
71639.28	3	2697314	Customer#000149863	WXlXCjQJDnNYHy9sygeT7n3pDRZD1bWBbMrD5	149863	F	lly quickly express deposits. fluffily ironic accounts above the furiously express packages sleep accounts. 
24055.52	5	2697314	Customer#000149863	WXlXCjQJDnNYHy9sygeT7n3pDRZD1bWBbMrD5	149863	F	lly quickly express deposits. fluffily ironic accounts above the furiously express packages sleep accounts. 
994.02	1	2714147	Customer#000149738	tGgQi1L1KwbjAPti aKrADX,Zd72cbiSIZ4ArcZM	149738	F	odolites snooze above the carefully special instructions. carefully bold f
25385.40	6	2714147	Customer#000149738	tGgQi1L1KwbjAPti aKrADX,Zd72cbiSIZ4ArcZM	149738	F	odolites snooze above the carefully special instructions. carefully bold f
80800.44	2	2727520	Customer#000149587	Yjmpd3deNWc64L1CUN3Q1nP	149587	F	s: unusual deposits wake quickly theod
24483.00	4	2727520	Customer#000149587	Yjmpd3deNWc64L1CUN3Q1nP	149587	F	s: unusual deposits wake quickly theod
67189.22	6	2727520	Customer#000149587	Yjmpd3deNWc64L1CUN3Q1nP	149587	F	s: unusual deposits wake quickly theod
31652.80	1	2730018	Customer#000149897	JFVCLcOAv2	149897	F	counts. packages dazzle slyly alongside of the blithely unusual requests. bold somas maintain fluffily 
76432.02	4	2822597	Customer#000149647	JEZDW6BYs6BW	149647	F	slyly regular hockey players after the blithely final packages are quickly quickly final instructions
48169.45	5	2822597	Customer#000149647	JEZDW6BYs6BW	149647	F	slyly regular hockey players after the blithely final packages are quickly quickly final instructions
51407.37	1	2828295	Customer#000149539	TjmNleYU0pznVOXOxY  xsOpBCE4l2XZ6TGil	149539	F	endencies. slyly pending courts alongside of the daringly special theodolites are carefully at the slyly f
39512.25	2	2828295	Customer#000149539	TjmNleYU0pznVOXOxY  xsOpBCE4l2XZ6TGil	149539	F	endencies. slyly pending courts alongside of the daringly special theodolites are carefully at the slyly f
37016.00	4	2828295	Customer#000149539	TjmNleYU0pznVOXOxY  xsOpBCE4l2XZ6TGil	149539	F	endencies. slyly pending courts alongside of the daringly special theodolites are carefully at the slyly f
81264.54	5	2828295	Customer#000149539	TjmNleYU0pznVOXOxY  xsOpBCE4l2XZ6TGil	149539	F	endencies. slyly pending courts alongside of the daringly special theodolites are carefully at the slyly f
30794.40	1	2931685	Customer#000149582	6HwdirVn3qjSGXGtQ5zdSC	149582	F	n packages sleep. ironic sheaves promise quickly. ironic, final requests against
46724.88	2	2951431	Customer#000149854	PVQnsB BgUlEj1SoS9eTGKH0dBspBN	149854	F	quests. quickly final ideas hinder fluf
44778.01	6	2951431	Customer#000149854	PVQnsB BgUlEj1SoS9eTGKH0dBspBN	149854	F	quests. quickly final ideas hinder fluf
57260.80	1	3026273	Customer#000149626	DpQR2Xpq1e2QfYkW7J7wgivxb6XKu7Inc,rzwz9L	149626	F	. enticingly bold forges haggle along the instructions. packages among the ironic depo
2584.70	1	3415746	Customer#000149527	BFstQf8Oi8S	149527	F	ual, ironic instructions maintain carefully. pending, furious reques
10930.68	7	3415746	Customer#000149527	BFstQf8Oi8S	149527	F	ual, ironic instructions maintain carefully. pending, furious reques
5985.95	2	3419105	Customer#000149995	PvEhdlAtDlAjNLPc,LFSenxB,Jso3tmHs9	149995	F	st the silent platelets. busily even deposits ought
23918.83	1	3451268	Customer#000149867	Arg8u4cUiah0dDC4WYJJJLu7L9s9vXiTXCn9H	149867	F	ven deposits thrash slyly alongside of the bold f
25237.70	3	3489923	Customer#000149567	7GYTkxv0cW	149567	F	accounts. carefully special packages sleep blithely
41607.68	5	3489923	Customer#000149567	7GYTkxv0cW	149567	F	accounts. carefully special packages sleep blithely
38936.04	1	3650982	Customer#000149557	gjbbIQ E4i	149557	F	 deposits. special ideas wake across the slyly bold deposits. silent platelets above the final frets
11848.65	2	3668164	Customer#000149698	wo4JHEgW0RwFeaISiVgpLmGXCCywtKyaucJd	149698	F	ughout the slyly final theodolites. accounts are slyly along the slyly 
37009.08	2	3684323	Customer#000149695	JL8X9QdJwfxNI8qsFGLB,CiqVD20hemLKxi84,3	149695	F	sual accounts. quickly final asymptotes wake across the carefully unusual requests. q
52676.96	6	3684323	Customer#000149695	JL8X9QdJwfxNI8qsFGLB,CiqVD20hemLKxi84,3	149695	F	sual accounts. quickly final asymptotes wake across the carefully unusual requests. q
55375.20	1	3713573	Customer#000149656	TFd3NdTOVEDLGdjwXHuJhg1I0dri JSbz	149656	F	ray. regular, silent dolphins wake beyond t
79094.70	4	3713573	Customer#000149656	TFd3NdTOVEDLGdjwXHuJhg1I0dri JSbz	149656	F	ray. regular, silent dolphins wake beyond t
55643.38	2	3724647	Customer#000149665	IVj5awdpMTG,CjObr1HBuJ3FNWHvT2hU	149665	F	n packages boost evenly even accounts. slyly ironic accounts among the ironic forges s
12067.44	2	3725350	Customer#000149783	b60Jcw9jr4iTx1teS1D	149783	F	s. slyly express packages haggle blithel
64187.02	1	3726919	Customer#000149975	dpgfkR77qNJmq4CUm3ASaZIkzh	149975	F	 accounts. ironic deposits could have to haggle. s
29346.80	4	3726919	Customer#000149975	dpgfkR77qNJmq4CUm3ASaZIkzh	149975	F	 accounts. ironic deposits could have to haggle. s
59489.76	3	3753351	Customer#000149575	UXi1HLOOn88gpB GHoMuK8TcWw	149575	F	theodolites according to the ironic
29729.09	5	3753351	Customer#000149575	UXi1HLOOn88gpB GHoMuK8TcWw	149575	F	theodolites according to the ironic
41516.75	7	3753351	Customer#000149575	UXi1HLOOn88gpB GHoMuK8TcWw	149575	F	theodolites according to the ironic
26208.24	2	3793447	Customer#000149815	uE H1a22cwQe3FScKFR3WXbh9GUEp0K8	149815	F	ic foxes wake quickly unusual foxes. even, regular 
6242.60	5	3793447	Customer#000149815	uE H1a22cwQe3FScKFR3WXbh9GUEp0K8	149815	F	ic foxes wake quickly unusual foxes. even, regular 
44557.76	4	3795522	Customer#000149552	m0EtIpGoW2EMBdUMPO1 bOygn8VFy	149552	F	oss the blithely ironic instructions. carefully ironic 
9009.60	2	3833540	Customer#000149881	RCBIqq9DUYz6ZtDLtBvm7jdJ4nmhB2LL2mgcDcK	149881	F	lar accounts boost furiously fluffily unusual packages. slyly express packages sl
16981.25	6	3903426	Customer#000149533	K3tAf15XMPjK6oBJJGh4	149533	F	riously across the carefully final patterns. carefully ironic accounts haggle carefully dolphi
43420.50	2	3951200	Customer#000149653	qdU7c7UG0IkRx6fTpXyWH	149653	F	le carefully. slyly even accounts x-ray slyly even asymptotes. furi
86483.04	4	3951200	Customer#000149653	qdU7c7UG0IkRx6fTpXyWH	149653	F	le carefully. slyly even accounts x-ray slyly even asymptotes. furi
58844.52	3	3956578	Customer#000149603	N5t4st0mOl7Efou, MOLfYBwHS2omCE3k4AKc7K	149603	F	 packages above the express packages cajole deposits. ironic gifts sleep car
17676.72	2	4714656	Customer#000149908	NwQBSgpOJSOCGVzb5tl7akQ7jJJX1JbdgO1	149908	F	iously final courts detect across the carefully bold r
35735.40	3	4752774	Customer#000149779	PFbARoFnrutXQyA6	149779	F	ions. carefully unusual sheaves according to the slyly ironic deposits cajole sl
66639.30	4	4779365	Customer#000149780	J5vF1RKiaXK2g1OJBWr	149780	F	equests. bold accounts thrash f
16635.90	5	4779365	Customer#000149780	J5vF1RKiaXK2g1OJBWr	149780	F	equests. bold accounts thrash f
45403.05	1	4817733	Customer#000149786	kZQWI8hZqZE83mtU,gh9txT6lHJn	149786	F	inst the quickly special platelets. furiously pend
40553.76	1	4825696	Customer#000149899	dm1C7fXGioHQlhjLm2ZJ1MxsAQ3cCB	149899	F	ut the carefully ironic packages integrate slyly even foxes. final foxes against the carefully bold ideas haggl
31974.00	3	4825696	Customer#000149899	dm1C7fXGioHQlhjLm2ZJ1MxsAQ3cCB	149899	F	ut the carefully ironic packages integrate slyly even foxes. final foxes against the carefully bold ideas haggl
56334.18	4	4825696	Customer#000149899	dm1C7fXGioHQlhjLm2ZJ1MxsAQ3cCB	149899	F	ut the carefully ironic packages integrate slyly even foxes. final foxes against the carefully bold ideas haggl
68386.85	5	4825696	Customer#000149899	dm1C7fXGioHQlhjLm2ZJ1MxsAQ3cCB	149899	F	ut the carefully ironic packages integrate slyly even foxes. final foxes against the carefully bold ideas haggl
67148.80	3	4881667	Customer#000149606	9cAx,eblIbYqMjIyvq	149606	F	g the quickly thin platelets sleep ca
34307.20	7	4881667	Customer#000149606	9cAx,eblIbYqMjIyvq	149606	F	g the quickly thin platelets sleep ca
29401.24	3	4924068	Customer#000149551	LyOWt4yCs4hewhS	149551	F	ly bold dependencies. furiously close accounts are quickly along the carefully ev
43491.76	3	4924288	Customer#000149611	ZHbldyyaPQyRKWl71mjYKfYVy	149611	F	tes? final, pending accounts believe blithely above the 
44095.08	4	4924288	Customer#000149611	ZHbldyyaPQyRKWl71mjYKfYVy	149611	F	tes? final, pending accounts believe blithely above the 
22727.84	4	4952707	Customer#000149612	cmCwdK1NXKrUyQ2GwhvWFKoKhps	149612	F	bits. furiously ruthless deposits was carefully abov
8473.65	5	4952707	Customer#000149612	cmCwdK1NXKrUyQ2GwhvWFKoKhps	149612	F	bits. furiously ruthless deposits was carefully abov
42524.79	6	4952707	Customer#000149612	cmCwdK1NXKrUyQ2GwhvWFKoKhps	149612	F	bits. furiously ruthless deposits was carefully abov
4513.71	4	4980706	Customer#000149600	K5WEFzassCYVkDtGy4e9xmEaeTdmMd56k1q9Y	149600	F	efully pending ideas. carefully final deposits poach 
68520.30	5	4980706	Customer#000149600	K5WEFzassCYVkDtGy4e9xmEaeTdmMd56k1q9Y	149600	F	efully pending ideas. carefully final deposits poach 
10690.88	5	4987552	Customer#000149683	pp6HoBzP3ABlHueh5nduKF D6YBgQ80Hzs	149683	F	onic instructions. blithely express accounts wake blithely
29410.00	2	5019109	Customer#000149566	ydGCKPRG4s	149566	F	y. slyly final packages nag slyly after the fluffily regular theodolites. foxes nag quickly even pains. bold packag
63938.42	4	5019109	Customer#000149566	ydGCKPRG4s	149566	F	y. slyly final packages nag slyly after the fluffily regular theodolites. foxes nag quickly even pains. bold packag
51336.02	6	5020704	Customer#000149849	H2N,dW6sJDd0tnWrcw1cQrsIuIOc6LwardHBIvoU	149849	F	ers: furiously sly sheaves solve slyly ironi
16657.02	1	5023076	Customer#000149614	UAIWVmhU1nnkTBNg	149614	F	s the carefully express deposits. slyly bold theodolites boost carefully above t
23618.10	6	5023076	Customer#000149614	UAIWVmhU1nnkTBNg	149614	F	s the carefully express deposits. slyly bold theodolites boost carefully above t
9540.00	1	5053733	Customer#000149719	K,2zu1bJC5RWce2bzQBvYn TfaJaog	149719	F	unusual instructions against the slyly final requests wake carefully even, final packages. fina
28665.13	5	5063042	Customer#000149882	sPUnqTnTgW7B34eQhbcbF5OAF	149882	F	lly special theodolites. furiously eve
86774.88	1	5076197	Customer#000149683	pp6HoBzP3ABlHueh5nduKF D6YBgQ80Hzs	149683	F	onic instructions. blithely express accounts wake blithely
44326.80	4	5076197	Customer#000149683	pp6HoBzP3ABlHueh5nduKF D6YBgQ80Hzs	149683	F	onic instructions. blithely express accounts wake blithely
28568.43	2	5102883	Customer#000149702	,3Cnqc86jJ0zfJor4KPn2XLPpVyzvKc8xK7BgE f	149702	F	e furiously alongside of the pinto beans. furiously final pack
67169.28	1	5122882	Customer#000149702	,3Cnqc86jJ0zfJor4KPn2XLPpVyzvKc8xK7BgE f	149702	F	e furiously alongside of the pinto beans. furiously final pack
13390.72	2	5122882	Customer#000149702	,3Cnqc86jJ0zfJor4KPn2XLPpVyzvKc8xK7BgE f	149702	F	e furiously alongside of the pinto beans. furiously final pack
51570.72	5	5136165	Customer#000149764	D2qA6BwAp9RCe9uadZu9Y9Ix	149764	F	equests sleep carefully instructions. blithely ironic ideas detect slyly fl
29551.20	2	5156196	Customer#000149509	fVCZuqQHyf8oUGxHuIDezfk, C	149509	F	 bold accounts are thinly along the furious pinto beans. exp
29753.50	2	5158560	Customer#000149552	m0EtIpGoW2EMBdUMPO1 bOygn8VFy	149552	F	oss the blithely ironic instructions. carefully ironic 
15775.20	3	5181600	Customer#000149878	QLOOPmnruhZNd d1d0zxQ,maKMkjt9FsJ	149878	F	nod furiously. accounts use carefully ac
22351.56	3	5195235	Customer#000149623	1HggzE,le3jGUMG6xoxYAEqI9b4rMQrcyV5jf	149623	F	ffily special platelets affix. bold asymptotes according to the quietly pending
6993.28	5	5195235	Customer#000149623	1HggzE,le3jGUMG6xoxYAEqI9b4rMQrcyV5jf	149623	F	ffily special platelets affix. bold asymptotes according to the quietly pending
51379.65	1	5224070	Customer#000149933	ocRzB9WDHf6i,Jjz7AHop t7z,AZAX	149933	F	anently pending accounts. ironically furious requests sleep furi
2932.94	7	5236967	Customer#000149639	MV8h GtYXgozSLTN FcEHnw0YHtHPfGC	149639	F	lphins. final deposits promise carefully slyly regular
1739.70	1	5242720	Customer#000149909	D0WBgaCvitADwGzti,6S9D	149909	F	lyly pending platelets sleep quickly above the furiously ironic requests. fluffily ironic packages nag. unus
55442.66	3	5242720	Customer#000149909	D0WBgaCvitADwGzti,6S9D	149909	F	lyly pending platelets sleep quickly above the furiously ironic requests. fluffily ironic packages nag. unus
16380.60	4	5242720	Customer#000149909	D0WBgaCvitADwGzti,6S9D	149909	F	lyly pending platelets sleep quickly above the furiously ironic requests. fluffily ironic packages nag. unus
42893.76	5	5242720	Customer#000149909	D0WBgaCvitADwGzti,6S9D	149909	F	lyly pending platelets sleep quickly above the furiously ironic requests. fluffily ironic packages nag. unus
37769.82	7	5242720	Customer#000149909	D0WBgaCvitADwGzti,6S9D	149909	F	lyly pending platelets sleep quickly above the furiously ironic requests. fluffily ironic packages nag. unus
54281.00	1	5290017	Customer#000149798	83qNbMZDmyKQSzCw	149798	F	ly thin accounts shall hinder quick
42351.39	5	5290017	Customer#000149798	83qNbMZDmyKQSzCw	149798	F	ly thin accounts shall hinder quick
20601.46	6	5290017	Customer#000149798	83qNbMZDmyKQSzCw	149798	F	ly thin accounts shall hinder quick
22615.52	1	786434	Customer#000149582	6HwdirVn3qjSGXGtQ5zdSC	149582	F	n packages sleep. ironic sheaves promise quickly. ironic, final requests against
85667.52	2	788995	Customer#000149947	q2lfER7DtTtBzjHZt4F	149947	F	regular asymptotes. frays boost. blithely ironic accounts boost carefully fluffily even requests. quickly f
85402.18	1	803621	Customer#000149884	UfRwJSt66P	149884	F	ymptotes cajole furiously about the furiously ironic accounts. blithely ironic a
